"CA"	0.635	0.59
"NV"	0.501	0.499
"OR"	0.569	0.53
"WA"	0.584	0.549
"ID"	0.331	0.312
"MT"	0.406	0.396
"UT"	0.377	0.295
"AZ"	0.494	0.456
"NM"	0.543	0.516
"CO"	0.554	0.5
"WY"	0.267	0.276
"ND"	0.319	0.351
"SD"	0.356	0.380
"NE"	0.394	0.364
"KS"	0.416	0.385
"OK"	0.323	0.336
"TX"	0.465	0.418
"LA"	0.399	0.41
"AR"	0.348	0.391
"MO"	0.414	0.444
"IA"	0.45	0.484
"MN"	0.526	0.508
"WI"	0.496	0.276
"IL"	0.575	0.57
"MS"	0.411	0.414
"AL"	0.367	0.378
"TN"	0.375	0.405
"KY"	0.362	0.382
"IN"	0.41	0.422
"MI"	0.506	0.52
"OH"	0.453	0.477
"WV"	0.297	0.372
"PA"	0.5	0.51
"NY"	0.609	0.602
"VA"	0.544	0.5
"NC"	0.501	0.466
"SC"	0.434	0.425
"GA"	0.495	0.378
"FL"	0.479	0.488
"ME"	0.531	0.53
"AK"	0.43	0.369
"NH"	0.529	0.5
"HI"	0.637	0.628
"VT"	0.664	0.609
"MA"	0.659	0.617
"RI"	0.597	0.6
"CT"	0.593	0.571
"NJ"	0.573	0.562
"DE"	0.588	0.568
"MD"	0.658	0.604
"DC"	0.93	0.90
